text,star
"


														
															
															
																보니야... 앤디가 너에게 영원한 파트너를 맡겼는데 그렇게 잊혀지게 두면 어떡하니...ㅠㅠ 
															
														
														
													
",10
"


														
															
															
																우디 수고했다.. 새 삶 찾은거 축하하고 꼭 행복해라. 
															
														
														
													
",10
"


														
															
															
																처음 앤디 나올때 왜 눈물이 났는지 모르겠음..더이상 앤디의 장난감들이 아니라 보니의 장난감이라는게 아쉽고 나도 앤디가 그리워짐 
															
														
														
													
",10
"


														
															
															
																재밌긴한데 3편보다 더 완벽한 엔딩이란거엔 동의를 못하겠다 
															
														
														
													
",7
"
관람객


														
															
															
																아니 저 친구들 함께 한 세월이 몇인데 우디를 이렇게 쉽게 보내주냐 버즈 너라도 한번쯤은 매달려보지ㅠㅠㅠㅠ우디 새 삶 찾은 건 좋지만 나만 아쉬운거야??? 
															
														
														
													
",10
"


														
															
															
																앤디랑 우디랑 다시 만나는걸로 5편 ㄱ 
															
														
														
													
",10
"




																		투닥투닥 포테이토 부부, 호들갑 랙스, 터프한 햄-슬링키, 삼총사 알린, 우디가 나서면 주저않고 따르던 제시&불스아이-버즈..그 모습들을 볼수없어 아쉬웠습니다ㅜ항상 우르르 몰려다니며 환장할 팀워크를 보여줬는데 4는 ...
																	


",8
"
관람객


														
															
															
																자,  토이스토리 덕후분들은 손수건을 무조건 준비합니다. 안그러면 소중하게 구매한 토이스토리 팝콘통에 눈물 다 채워갈 지 모르니까요ㅠㅠ 사랑해 토이스토리♥ 
															
														
														
													
",10
"




																		토이스토리 5 에서는 보니도 어른이 돼서 앤디가 그랬던 것 처럼 앤디의 아이에게 장난감을 선물한다면 최고의 결말일듯 장난감들이 다시 앤디의 품으로 돌아가는 장면을 보고싶음 토이스토리5에서 앤디가 아들이랑 장난감 가지...
																	


",10
"


														
															
															
																공대생을 울리는 것은 과제가 아닌 토이스토리였다 
															
														
														
													
",10
"


														
															
															
																3편을 잘마무리해서 더이상 안나올줄 알았는데..나왔다..4편..근데 더 잘만들었다..이게 말이되냐 
															
														
														
													
",10
"


														
															
															
																영화는 너무 좋았지만 기존 친구들의 비중이 너무 적은점은 아쉬웠음 
															
														
														
													
",10
"


														
															
															
																완벽했는데 딱 한 가지 아쉬웠던 게 우디가 보니에게 사랑받지 못 했던 거..ㅠㅠ 왠지 조금은 앤디가 그리웠음 
															
														
														
													
",9
"
관람객


														
															
															
																토이스토리를 극장에서 만난다는 것 자체가 보면서도 실삼이 나지 않아 심장이 두근두근했다. 나를 이토록 무조건적으로 위해주고 사랑해주는 마음들이 느껴져 자꾸만 영화를 보는내내 주책없이 눈물이 났다 
															
														
														
													
",10
"


														
															
															
																3보다 재밌는건 아닌거같습니다그래도 기본은했고 재미있었어요 특히 어릴적부터 좋아했던 영화 마지막편을 스크린개봉으로 본다는점이 참 좋았습니다 
															
														
														
													
",10
"


														
															
															
																보니 개짜증남 지가 소중히 대한다고 뺏어가려고 하더니 ㅋㅋ 애새끼가 우디 찬밥취급하는거 볼때마다 눈물나더라 우디최애들이 보면 ㄹㅇ 오열할듯 행복해라 우디야 
															
														
														
													
",10
"


														
															
															
																하.... 5편  기다릴게.... 
															
														
														
													
",10
"


														
															
															
																보니가 저러면 앤디는 뭐가 됨? 
															
														
														
													
",8
"




																		ㅠ저만 엔딩 맘에안드나요 우디만 봐도 슬프고 앤디 너무 그립고 최고의 파트너를 주었는데 이렇게 되다뇨ㅠㅠㅠㅠ알린들은 대사한마디도없었고 너무 기존 친구들을 못살렸어요ㅠㅠ 토이스토리를 극장에서 만날수있는건 너무나도 좋지...
																	


",7
"


														
															
															
																이 영화 최고의 빌런은 보니임.... 앤디한테서 우디 뺏었음 잘 간수하지ㅠㅠㅠ 
															
														
														
													
",10
