text,star
개봉전부터 나온 우려가 어느 정도는 맞았음. 4편 정말 잘 만들었지만 3편으로 놔두는게 제일 좋았다. 그리고 우디를 너무 쉽게 놔줘서 많이 아쉬웠음 버즈야 좀 더 말렸어야지 ㅜㅜ,1
포키: 우디는 아직 앤디를 잊지 못한 거 같아포키의 한마디에 정곡을 찔린 기분,1
기대반 걱정반 으로 기다렸는데 갓즈니 갓사 앞에서 걱정을 왜했나싶고.. 하.. 3편도 좋았는데 4편도 좋고 1편도 좋고 2편도 좋고... 토이스토리 는 그저 사랑입니다... 토이4를 극장에서 볼 수 있게 잘 살아와서...,1
신인 감독의 역량부족인가 존 라세터의 부재 때문인가... 토이스토리를 1편부터 본 사람이라면 어디선가 많이 본 전개와 용납할 수 없는 엔딩을 보게 될 것이다,1
우디야 고생했어 넌 정말 최고였어!!  수고했다....라고 말하는 영화같았음.ㅠㅠ,1
우디 수고했다.. 새 삶 찾은거 축하하고 꼭 행복해라.,1
"""Trash...?""     ""No, We are TOYS!""",1
3보다 재밌는건 아닌거같습니다그래도 기본은했고 재미있었어요 특히 어릴적부터 좋아했던 영화 마지막편을 스크린개봉으로 본다는점이 참 좋았습니다,1
"보니,, 토이스토리3 마지막에 앤디가 주기싫어서 망설일때 자기달라는 표정 짓더니 ㅜ 그렇게 옷장에박혀두다니 우리 우디가 그럴취급 받을 애가 아닌데!!! ㅜㅜ엔딩은 정말 이제 더는 토이스토리5는 없을것 같은 엔딩으로 ...",1
"우디,, 너의 선택을 응원해ㅠㅠ",1
보니가 저러면 앤디는 뭐가 됨?,1
"내 인생에 토이스토리,해리포터,어벤져스 시리즈를 영화관에서 볼 수 있던건 행운이다. 나와 함께 커줘서 고마워 토이스토리3에서 앤디랑 이별할때 뭉클했는데 So long partner..토이스토리4는 더 완벽해ㅠㅠto ...",1
"마지막에 우디랑 버즈가 서로 껴안을때 첫만남이었던 1편, 같이활동하는 2,3편을 다본 나로써는 최고의 엔딩이었다...여기서 눈물 핑돌더라 잊지못할듯",1
제시에게 보안관 자리 넘겨줄때 뭉클하고 감동..ㅠㅠ,1
그래 우디야 넌 그런친구지 보니에게도 그렇게 충성스럽구나 5탄에서  버즈랑 다시 재회해주라 보니는 우디가 너에게 포키를 지켜주려고 얼마나 잠도 못자고 고생했는지 평생 모르겠지 앤디가 얼마나 잘부탁했는데 장농신세를 만...,1
"그래픽은 역대급으로 좋았지만, 우디 보니 버즈 다 캐붕이 심했네요. 전편에 우디는 자신을 제일 아끼는 앤디보다 친구들을 택했고, 이번편에 우디는 앤디를 잊지 못합니다. 전편에서 일어난 정신적인 성장은 어디갔나요?",0
우디와 버즈와의 우정은..?,1
"나는 토이스토리3가 내 맘속에 엔딩할래, 어느 포인트가 슬프다는건지 잘 모르겠다",1
"기대가 컸던만큼 실망도 커요 보니는 왜 만든지 며칠된 포키는그렇게 찾으면서... 우디가 없어도 안찾아?설득력이 없음.원래 버즈는 착각대마왕 바보가 맞지만 매력없는 멍청이로 변해있고,장난감은 아이와함께 놀때 가장 가치...",0
영화에서 악당을 꼭 물리쳐야만 하는것이 정답이 아님을 알려주는 픽사와 디즈니다운 엔딩! 개비개비를 이해해주고 주인과 함께 할 수 있도록 도와준 것은 너무 감동적이었다.,1
"""무한한 공간 ....저너머로""이대사가 이렇게 쓰일줄은 상상도못했다...",1
"웃음, 슬픔, 호러, 감동 모두 다 잡았습니다. 전작들 기억 못 해도 충분히 본편만으로도  재밌게 볼 수 있어요!",1
맨 처음 도입부 씬이 너무 찡하다.,1
"나처럼 어린시절 비디오로 시리즈1,2 챙겨본 광팬이라면 이번 시리즈가 역대 최악이란 거에 쉽게 동의할거다.기존 멤버들간의 호흡은 커녕 이번엔 엑스트라라도 존재감 0에 매 시리즈 영웅같은 모습을 보여준 우디,버즈를 이...",0
"안녕, 나의 가장 친한 친구 우디",1
토이스토리 1편에서 앤디의 새장난감인 버즈를 보고 질투했던 우디와 4편에서 보니의 행복을 위해 새장난감 포키를 처음부터 끝까지 지켜주려는 우디.. 나이를 먹은건 우리뿐 아니라 우디도 마찬가지였다 많이 성숙해졌구나,1
재밌긴한데 3편보다 더 완벽한 엔딩이란거엔 동의를 못하겠다,1
"우디는 진짜 의리있는 카우보이인듯, 주인을 자기 목숨처럼 여기고 , 장난감주인이 자신을 아끼지않아도, 주인이 좋아하는 새로운장난감이라면 끝까지 도와주는 정신은 헌신과 사랑이 있어야만 가능해서 우디는 진짜 좋은 리더인...",1
우디를 보고 캡틴아메리카가 떠올랐다. 주변에서 이해가 안 될 정도로 자신보다 자기의 친구를 위하던 우디. 그런 우디가 이제 자기만의 삶을 위해 떠나려한다. 그저 어린 시절부터 우디를 봐왔던 우리는 이제 응원할 일만 ...,1
사랑받는 인형에서 사랑주는 인형으로,1
너무 기대가 컸던 탓일까....ㅠㅠ토이스토리 캐릭터들을 다시 극장에서 본걸로 그저 만족,1
보니야... 앤디가 너에게 영원한 파트너를 맡겼는데 그렇게 잊혀지게 두면 어떡하니...ㅠㅠ,1
"3편 다시보고서 기대만빵하며 예매했는데..정말 실망스럽다..재미없는건 아닌데, 3편에 비함 정말 평작수준. 극장서 가볍게 드문드문 터지는 개그가 전부인 영화",0
3이랑 4 울면서 봤습니다 ㅠㅜ,1
보니가 우디를 찾지도 않을거면 대학까지 데려가려고 했던 앤디한테나 주지 뭔가 4는 일관성이 없다 그전시리즈에서 다락에가도 함께하자던 버즈와 친구들은 비중도 적고 포키포키 계속 포키 찾아주다가 친구들이랑 갑자기 헤어지...,0
"우디만 떼놓다니,, 결말 별로였다,,",0
무한한 공간 저 넘어로...,1
